x_z1,x_z2,t_z
16.25,-10.75,15.0
9.75,-5.25,15.0
22.75,-15.25,15.0
11.75,-4.25,15.0
24.75,-18.75,16.0
12.25,-6.75,16.0
15.75,-11.25,16.0
25.75,-14.75,16.0
20.25,-11.25,16.0
22.75,-15.25,16.0
7.75,-3.75,17.0
21.25,-12.75,17.0
8.75,-3.25,17.0
17.25,-11.75,17.0
6.25,-0.75,17.0
25.25,-18.25,17.0
19.75,-15.25,18.0
15.75,-11.25,18.0
24.75,-17.75,18.0
9.25,-3.75,18.0
21.75,-13.75,18.0
11.75,-6.25,18.0
12.75,-6.25,19.0
24.25,-17.75,19.0
25.25,-18.25,19.0
20.75,-14.75,19.0
18.25,-10.75,19.0
17.75,-14.25,19.0
12.75,-7.75,20.0
7.75,-1.75,20.0
20.75,-14.75,20.0
10.75,-2.75,20.0
13.25,-7.25,20.0
11.25,-5.25,20.0
12.75,-5.25,21.0
25.25,-18.25,21.0
20.75,-11.25,21.0
17.75,-11.75,21.0
9.75,-1.75,21.0
9.75,-1.75,21.0
24.25,-17.75,22.0
9.25,-0.75,22.0
21.25,-12.75,22.0
13.25,-7.25,22.0
13.25,-7.25,22.0
19.25,-11.75,22.0
11.75,-7.25,23.0
10.75,-6.75,23.0
8.25,0.25,23.0
11.25,-5.25,23.0
8.75,-2.75,23.0
13.75,-8.25,23.0
11.75,-5.25,25.0
9.75,-5.75,25.0
9.75,-4.25,25.0
10.75,-3.25,25.0
10.75,-5.25,25.0
21.25,-12.75,25.0
19.75,-14.25,26.0
3.75,-1.25,26.0
9.75,-4.25,26.0
15.25,-11.25,26.0
7.75,-2.25,26.0
15.25,-10.75,26.0
12.25,-6.75,27.0
11.25,-4.75,27.0
9.25,-3.75,27.0
13.25,-5.75,27.0
3.75,-0.75,27.0
24.75,-14.75,27.0
26.75,-14.75,28.0
10.75,-6.75,28.0
15.25,-9.75,28.0
9.25,-4.25,28.0
10.75,-4.75,28.0
18.25,-12.75,28.0
10.75,-4.25,29.0
11.75,-5.75,29.0
12.25,-6.25,29.0
7.75,-2.25,29.0
13.25,-7.75,29.0
9.75,-0.75,29.0
10.75,-6.25,30.0
9.25,-1.25,30.0
10.75,-4.25,30.0
15.75,-11.25,30.0
13.75,-7.25,30.0
11.75,-7.25,30.0
5.75,-0.25,31.0
13.25,-8.75,31.0
19.25,-12.25,31.0
12.25,-7.75,31.0
15.25,-12.25,31.0
10.75,-4.25,31.0
11.75,-4.25,32.0
14.75,-12.25,32.0
14.75,-8.25,32.0
12.75,-6.25,32.0
12.75,-5.25,32.0
10.75,-2.25,32.0
9.75,-4.25,33.0
9.25,-2.75,33.0
12.75,-7.25,33.0
15.75,-8.75,33.0
10.25,-4.25,33.0
10.75,-2.75,33.0
11.75,-7.25,34.0
4.75,-1.25,34.0
15.25,-11.75,34.0
8.75,-2.75,34.0
15.25,-11.75,34.0
12.25,-6.75,34.0
15.25,-11.75,35.0
15.25,-11.75,35.0
14.75,-11.75,35.0
15.25,-11.75,35.0
10.25,-2.75,35.0
8.25,-3.25,35.0
4.25,-1.25,36.0
8.75,-1.25,36.0
8.25,0.25,36.0
6.75,-1.25,36.0
7.25,-0.75,36.0
8.25,1.25,36.0
10.25,-5.75,37.0
15.75,-8.25,37.0
15.75,-7.75,37.0
12.25,-7.25,37.0
10.75,-4.75,37.0
15.75,-8.25,37.0
12.75,-7.25,38.0
20.75,-12.25,38.0
13.25,-7.75,38.0
10.25,-3.25,38.0
8.75,-2.25,38.0
24.75,-17.75,38.0
7.25,-1.25,39.0
15.75,-7.75,39.0
19.25,-13.75,39.0
19.25,-13.25,39.0
24.75,-16.25,39.0
14.25,-7.75,39.0
15.25,-9.25,40.0
15.75,-8.25,40.0
11.25,-5.75,40.0
15.75,-8.75,40.0
22.75,-15.25,40.0
15.75,-8.75,40.0
11.75,-3.75,41.0
15.75,-8.75,41.0
15.75,-8.75,41.0
16.75,-9.25,41.0
15.25,-9.25,41.0
24.75,-17.75,41.0
6.75,-3.25,42.0
12.75,-5.25,42.0
11.75,-5.75,42.0
15.75,-8.75,42.0
26.75,-15.25,42.0
9.25,-2.25,42.0
10.75,-3.25,43.0
10.75,-2.75,43.0
10.25,-5.75,43.0
16.25,-8.25,43.0
11.25,-3.75,43.0
15.75,-8.75,43.0
15.75,-8.75,44.0
15.25,-9.25,44.0
15.25,-8.75,44.0
23.75,-17.75,44.0
15.75,-8.25,44.0
15.75,-7.75,44.0
9.25,0.25,45.0
9.75,-5.25,45.0
26.75,-17.25,45.0
23.75,-17.75,45.0
10.25,-6.25,45.0
11.75,-7.25,45.0
22.25,-15.25,46.0
17.75,-11.25,46.0
15.25,-11.75,46.0
15.25,-9.75,46.0
3.75,-1.25,46.0
20.75,-12.25,46.0
15.75,-9.25,47.0
15.25,-11.75,47.0
15.25,-8.25,47.0
12.75,-9.25,47.0
12.75,-6.75,47.0
12.75,-9.25,47.0
8.75,-3.75,48.0
12.25,-7.25,48.0
11.25,-3.75,48.0
11.75,-3.75,48.0
10.75,-3.75,48.0
8.25,-4.25,48.0
16.25,-10.75,49.0
13.75,-7.75,49.0
11.25,-6.25,49.0
17.25,-12.25,49.0
13.25,-8.75,49.0
9.25,-4.75,49.0
14.75,-9.25,50.0
11.25,-3.75,50.0
13.25,-6.75,50.0
19.75,-12.75,50.0
5.25,-1.25,50.0
9.25,-4.25,50.0
14.75,-6.25,51.0
16.25,-11.25,51.0
11.25,-5.75,51.0
16.75,-9.25,51.0
14.75,-9.25,51.0
18.75,-12.25,51.0
9.25,-1.25,52.0
10.25,-3.75,52.0
20.25,-11.25,52.0
10.75,-2.75,52.0
9.75,-3.25,52.0
19.75,-12.75,52.0
5.75,-0.75,53.0
24.25,-18.25,53.0
12.75,-7.75,53.0
15.25,-8.25,53.0
20.75,-13.25,53.0
18.25,-12.25,53.0
10.75,-6.25,54.0
7.75,-2.25,54.0
15.75,-11.25,54.0
9.25,-2.75,54.0
17.75,-10.25,54.0
17.75,-10.75,54.0
9.25,-3.75,55.0
17.25,-11.25,55.0
12.25,-5.25,55.0
16.25,-9.75,55.0
17.75,-13.25,55.0
17.75,-12.25,55.0
12.25,-6.25,56.0
16.75,-10.75,56.0
23.75,-17.75,56.0
7.75,-0.25,56.0
20.25,-12.25,56.0
20.75,-11.25,56.0
9.25,-2.25,57.0
21.25,-15.25,57.0
22.25,-12.25,57.0
13.25,-5.75,57.0
19.25,-10.75,57.0
11.75,-6.25,57.0
13.25,-6.75,58.0
12.75,-6.75,58.0
22.25,-12.25,58.0
4.25,-1.25,58.0
3.75,-1.25,58.0
18.75,-12.25,58.0
15.25,-11.75,59.0
11.75,-5.25,59.0
6.75,0.25,59.0
15.25,-11.75,59.0
12.25,-5.75,59.0
15.25,-11.75,59.0
8.75,-2.75,61.0
16.25,-10.25,61.0
9.75,-2.75,61.0
11.75,-5.25,61.0
11.25,-4.75,61.0
14.25,-8.25,61.0
8.75,-2.75,62.0
20.25,-11.25,62.0
16.25,-11.25,62.0
13.75,-6.75,62.0
12.75,-6.75,62.0
11.25,-6.25,62.0
9.25,-4.75,63.0
9.25,-2.75,63.0
8.75,-3.25,63.0
9.25,-3.75,63.0
18.75,-12.75,63.0
12.75,-6.75,63.0
21.25,-11.25,64.0
10.25,-2.75,64.0
8.75,-2.75,64.0
6.75,-0.25,64.0
10.25,-4.75,64.0
16.75,-10.25,64.0
8.75,0.25,65.0
10.75,-2.75,65.0
13.75,-5.75,65.0
8.75,-2.75,65.0
13.25,-7.75,65.0
22.25,-15.75,65.0
20.25,-12.75,66.0
12.75,-7.75,66.0
20.75,-11.25,66.0
20.25,-12.75,66.0
20.75,-14.75,66.0
12.25,-6.75,66.0
20.25,-11.25,67.0
13.75,-7.75,67.0
16.75,-9.75,67.0
21.25,-12.25,67.0
17.75,-10.25,67.0
21.25,-12.25,67.0
9.75,-5.75,68.0
9.25,-1.75,68.0
10.25,-3.75,68.0
9.75,-6.25,68.0
10.75,-5.25,68.0
12.25,-7.75,68.0
18.75,-13.25,69.0
17.25,-9.75,69.0
11.25,-3.75,69.0
23.25,-17.25,69.0
20.75,-13.25,69.0
8.25,-1.75,69.0
17.75,-13.75,70.0
9.25,-4.75,70.0
4.75,-0.75,70.0
11.25,-4.75,70.0
4.75,0.25,70.0
11.75,-7.25,70.0
14.25,-7.25,71.0
11.75,-4.75,71.0
12.75,-8.25,71.0
13.75,-7.75,71.0
9.75,-5.25,71.0
8.75,-1.25,71.0
6.75,-2.25,72.0
11.25,-4.25,72.0
9.25,-4.25,72.0
7.25,-0.75,72.0
10.25,-4.25,72.0
9.25,-3.75,72.0
8.25,0.25,73.0
8.75,-3.75,73.0
6.75,-1.75,73.0
6.25,-0.25,73.0
7.25,-2.25,73.0
9.75,-1.25,73.0
12.25,-4.75,74.0
8.25,-1.75,74.0
8.75,-4.25,74.0
6.75,0.25,74.0
12.25,-4.75,74.0
12.75,-6.75,74.0
21.75,-14.75,75.0
10.25,-5.25,75.0
20.75,-13.75,75.0
16.25,-10.25,75.0
15.25,-7.25,75.0
13.25,-8.75,75.0
23.75,-18.75,76.0
15.75,-9.25,76.0
6.75,-2.25,76.0
10.75,-5.25,76.0
10.75,-5.75,76.0
11.25,-3.25,76.0
12.75,-7.25,77.0
14.25,-8.25,77.0
15.25,-9.75,77.0
26.75,-18.75,77.0
21.25,-15.25,77.0
19.75,-13.75,77.0
10.25,-2.75,78.0
12.75,-5.75,78.0
10.25,-6.25,78.0
9.25,-2.75,78.0
12.25,-6.75,78.0
17.75,-11.75,78.0
7.75,-0.75,79.0
8.75,-3.75,79.0
12.75,-5.25,79.0
12.75,-7.75,79.0
15.25,-8.75,79.0
16.75,-10.25,79.0
17.75,-9.75,80.0
10.25,-3.75,80.0
10.75,-3.75,80.0
10.25,-4.75,80.0
12.75,-5.25,80.0
14.75,-7.75,80.0
10.25,-3.25,81.0
15.25,-8.25,81.0
19.25,-13.25,81.0
14.25,-8.25,81.0
15.75,-8.25,81.0
20.75,-13.25,81.0
11.75,-7.25,82.0
10.75,-2.75,82.0
10.75,-5.25,82.0
21.75,-13.75,82.0
13.25,-7.75,82.0
17.75,-10.25,82.0
9.25,-4.25,83.0
12.75,-6.25,83.0
12.25,-6.25,83.0
4.25,-1.25,83.0
12.25,-4.75,83.0
10.75,-3.25,83.0
7.75,-2.75,85.0
9.25,-0.25,85.0
9.75,-3.75,85.0
11.25,-3.25,85.0
12.25,-6.75,85.0
11.75,-6.25,85.0
9.25,-4.75,86.0
8.75,-3.75,86.0
11.25,-5.75,86.0
16.25,-10.25,86.0
15.25,-9.75,86.0
21.25,-14.75,86.0
13.25,-8.75,87.0
20.75,-11.25,87.0
9.75,-3.75,87.0
9.75,-1.75,87.0
13.75,-8.25,87.0
8.25,-4.75,87.0
11.25,-5.25,88.0
9.75,-4.25,88.0
10.75,-2.75,88.0
18.25,-10.75,88.0
20.75,-15.25,88.0
20.25,-14.75,88.0
13.25,-6.25,89.0
6.75,-0.75,89.0
17.25,-10.75,89.0
16.75,-9.75,89.0
20.75,-15.25,89.0
22.75,-13.75,89.0
14.25,-11.75,90.0
8.25,-3.75,90.0
15.75,-8.75,90.0
10.25,-5.75,90.0
21.75,-14.75,90.0
13.25,-8.25,90.0
20.75,-12.25,91.0
7.75,-0.25,91.0
8.75,-3.75,91.0
18.25,-11.75,91.0
25.75,-18.25,91.0
10.25,-2.75,91.0
7.75,-2.75,92.0
13.25,-9.25,92.0
23.75,-16.75,92.0
9.75,-5.75,92.0
11.75,-6.75,92.0
7.25,1.25,92.0
13.75,-8.25,93.0
15.75,-7.75,93.0
13.25,-6.75,93.0
20.25,-14.25,93.0
15.75,-8.75,93.0
15.25,-8.75,93.0
13.75,-8.75,94.0
19.75,-13.75,94.0
14.25,-7.25,94.0
11.25,-6.75,94.0
20.25,-14.25,94.0
11.25,-4.25,94.0
15.25,-9.25,95.0
13.25,-6.75,95.0
13.75,-8.25,95.0
14.75,-9.75,95.0
18.75,-12.25,95.0
17.25,-10.75,95.0
17.25,-9.75,96.0
11.75,-3.25,96.0
12.75,-7.25,96.0
20.75,-13.25,96.0
8.75,-4.25,96.0
12.75,-5.25,96.0
26.75,-14.75,97.0
17.75,-8.75,97.0
15.25,-8.75,97.0
14.75,-7.25,97.0
17.75,-14.25,97.0
18.25,-12.25,97.0
16.25,-9.25,98.0
14.25,-7.25,98.0
7.75,-2.75,98.0
9.75,-3.75,98.0
13.75,-11.75,98.0
12.25,-5.75,98.0
14.75,-9.75,99.0
23.25,-14.75,99.0
10.75,-3.25,99.0
7.75,-4.25,99.0
12.75,-7.75,99.0
13.25,-6.75,99.0
22.75,-15.75,100.0
9.75,-3.75,100.0
13.75,-5.75,100.0
11.75,-5.25,100.0
17.25,-10.25,100.0
4.75,0.25,100.0
9.75,-3.25,101.0
10.25,-4.25,101.0
26.75,-18.75,101.0
27.25,-18.25,101.0
27.25,-16.75,101.0
14.25,-9.75,101.0
21.75,-12.75,102.0
11.25,-3.75,102.0
14.75,-7.25,102.0
27.75,-16.75,102.0
20.75,-15.25,102.0
16.75,-9.25,102.0
12.25,-4.25,103.0
13.25,-11.25,103.0
7.25,-1.25,103.0
13.75,-11.25,103.0
20.75,-14.25,103.0
14.25,-11.25,103.0
8.75,-3.25,104.0
17.25,-11.75,104.0
7.75,0.25,104.0
24.75,-16.25,104.0
26.75,-18.75,104.0
11.75,-4.75,104.0
9.25,-5.25,105.0
11.75,-3.75,105.0
17.75,-10.25,105.0
13.75,-11.75,105.0
9.25,-3.75,105.0
9.25,-4.75,105.0
10.75,-4.25,106.0
20.25,-14.75,106.0
7.75,-2.75,106.0
5.75,-0.25,106.0
11.75,-4.25,106.0
11.75,-5.75,106.0
7.25,-0.25,107.0
11.25,-5.75,107.0
14.25,-11.25,107.0
11.75,-6.25,107.0
10.25,-5.75,107.0
8.25,-2.75,107.0
7.75,-1.75,108.0
18.75,-12.75,108.0
16.75,-9.25,108.0
10.25,-2.75,108.0
10.75,-4.75,108.0
21.25,-12.75,108.0
10.75,-3.25,109.0
8.75,-3.25,109.0
15.75,-8.25,109.0
19.25,-13.75,109.0
21.25,-15.75,109.0
10.25,-2.25,109.0
11.25,-4.75,110.0
11.25,-3.75,110.0
14.75,-9.25,110.0
9.75,-2.25,110.0
10.75,-2.75,110.0
15.25,-8.25,110.0
14.25,-8.25,111.0
16.75,-12.75,111.0
19.25,-11.25,111.0
16.25,-11.75,111.0
7.25,-2.25,111.0
9.75,-3.75,111.0
12.75,-7.75,112.0
12.25,-7.25,112.0
6.75,-0.25,112.0
11.25,-6.25,112.0
15.75,-9.75,112.0
10.25,-2.25,112.0
20.75,-15.25,113.0
11.25,-3.75,113.0
15.25,-9.75,113.0
15.75,-10.25,113.0
11.25,-6.25,113.0
22.25,-13.75,113.0
12.25,-5.75,114.0
13.25,-6.25,114.0
15.75,-12.75,114.0
11.25,-4.25,114.0
12.25,-4.25,114.0
13.75,-6.75,114.0
14.75,-9.25,115.0
19.75,-11.25,115.0
10.25,-4.25,115.0
10.75,-3.25,115.0
21.75,-14.75,115.0
16.25,-9.25,115.0
11.25,-6.25,116.0
11.25,-4.75,116.0
9.25,-4.75,116.0
14.75,-6.75,116.0
10.75,-3.25,116.0
10.75,-5.75,116.0
7.25,-1.75,117.0
10.25,-2.75,117.0
20.25,-12.25,117.0
23.25,-14.75,117.0
10.25,-3.25,117.0
15.75,-10.75,117.0
8.25,-2.75,118.0
19.75,-13.25,118.0
8.75,-2.75,118.0
19.75,-11.75,118.0
11.25,-6.75,118.0
20.25,-12.25,118.0
6.75,-0.75,119.0
9.25,-4.75,119.0
11.75,-4.25,119.0
15.25,-10.75,119.0
14.75,-8.25,119.0
15.25,-7.25,119.0
8.75,-6.25,0.0
21.75,-11.25,0.0
14.25,-7.75,0.0
22.75,-17.25,0.0
17.75,-14.75,0.0
22.25,-13.25,0.0
25.25,-19.75,0.0
26.25,-18.25,0.0
20.25,-12.25,0.0
12.25,-3.75,0.0
22.25,-13.75,0.0
22.75,-14.25,0.0
10.25,0.25,0.0
7.25,1.75,0.0
22.25,-15.75,0.0
6.75,-3.25,0.0
16.25,-13.25,0.0
9.25,0.75,0.0
14.75,-9.75,0.0
17.25,-15.75,1.0
13.75,-14.75,1.0
21.25,-17.25,1.0
16.75,-8.75,1.0
11.25,-11.75,1.0
22.25,-11.75,1.0
14.25,-11.25,1.0
14.25,-13.75,1.0
6.25,1.25,1.0
26.75,-18.75,1.0
21.75,-11.75,2.0
24.75,-18.25,2.0
15.75,-5.75,2.0
23.75,-16.25,2.0
25.25,-12.75,2.0
5.25,1.25,2.0
6.75,1.25,2.0
19.25,-15.75,2.0
14.75,-12.25,2.0
7.75,-6.25,2.0
8.25,-6.75,3.0
14.25,-13.75,3.0
24.25,-18.25,3.0
25.75,-13.25,3.0
16.75,-15.75,3.0
12.75,-9.75,3.0
8.25,-7.25,3.0
14.75,-12.25,4.0
13.75,-10.75,4.0
14.75,-14.25,4.0
21.25,-11.25,4.0
13.75,-14.75,4.0
26.25,-19.25,4.0
22.25,-11.75,4.0
26.25,-18.75,4.0
26.25,-18.75,5.0
5.25,-3.25,5.0
21.25,-11.75,5.0
4.75,-2.25,5.0
21.75,-18.75,5.0
22.25,-11.75,5.0
18.25,-9.25,5.0
17.25,-14.75,5.0
6.75,-3.25,6.0
18.25,-16.25,6.0
21.75,-11.75,6.0
25.25,-19.25,6.0
8.25,-5.25,6.0
17.25,-15.75,6.0
6.25,-4.25,6.0
13.25,-3.75,6.0
14.75,-4.25,7.0
14.75,-14.25,7.0
14.75,-5.75,7.0
10.25,-0.25,7.0
25.75,-18.75,7.0
20.25,-11.25,7.0
7.75,-5.25,7.0
7.75,-8.25,7.0
8.25,-6.25,7.0
10.75,-1.75,8.0
21.25,-10.75,8.0
4.25,-1.75,8.0
22.25,-11.75,8.0
21.75,-11.75,8.0
14.75,-4.25,8.0
9.25,0.25,8.0
11.25,-11.75,8.0
6.25,1.75,8.0
5.75,-2.25,9.0
7.75,-6.25,9.0
21.25,-17.25,9.0
4.75,0.75,9.0
6.75,0.25,9.0
12.75,-9.25,9.0
15.25,-12.75,9.0
12.25,-12.25,9.0
15.75,-13.25,9.0
11.75,-3.25,9.0
10.25,0.25,10.0
7.25,-4.75,10.0
9.75,-6.75,10.0
25.25,-13.25,10.0
26.25,-17.25,10.0
13.75,-14.25,10.0
25.75,-13.25,10.0
12.75,-11.75,10.0
24.75,-13.75,10.0
21.75,-11.75,10.0
17.75,-13.25,10.0
7.25,-0.25,10.0
27.25,-17.25,11.0
16.75,-10.25,11.0
25.25,-18.75,11.0
25.25,-14.25,11.0
12.25,-11.75,11.0
13.75,-3.25,11.0
22.75,-17.25,11.0
6.75,-5.25,11.0
24.25,-17.25,11.0
19.75,-15.25,11.0
22.75,-15.75,11.0
6.25,0.25,11.0
20.25,-12.25,11.0
7.25,-1.25,11.0
25.25,-15.25,11.0
20.75,-13.25,11.0
5.75,0.75,11.0
15.25,-6.75,11.0
13.25,-11.75,12.0
17.25,-14.75,12.0
20.75,-15.75,12.0
18.25,-16.25,12.0
12.75,-4.25,12.0
26.75,-17.75,12.0
16.75,-15.25,12.0
21.75,-17.25,12.0
16.25,-12.25,12.0
17.25,-12.25,12.0
18.75,-11.75,12.0
23.25,-17.25,12.0
11.75,-3.25,12.0
6.75,-6.25,12.0
12.75,-10.25,12.0
25.75,-18.75,12.0
20.75,-18.25,13.0
17.75,-14.25,13.0
25.25,-16.75,13.0
12.75,-4.25,13.0
9.75,0.75,13.0
21.75,-18.75,13.0
18.75,-15.75,13.0
22.25,-11.75,13.0
9.25,0.75,13.0
7.25,-6.75,13.0
4.25,-1.25,14.0
21.75,-17.25,14.0
4.75,-1.25,14.0
27.25,-15.25,14.0
6.75,-6.25,14.0
14.75,-13.75,14.0
8.25,-7.25,14.0
18.25,-14.25,14.0
10.75,-1.25,14.0
8.25,-6.25,15.0
5.25,-3.25,15.0
24.25,-18.25,15.0
16.75,-15.25,15.0
7.25,-6.75,15.0
27.25,-18.25,15.0
15.75,-5.75,15.0
18.75,-16.25,16.0
8.75,-6.75,16.0
18.25,-16.25,16.0
22.25,-11.75,16.0
23.25,-18.75,16.0
8.25,-7.75,16.0
6.75,-4.75,16.0
25.75,-13.25,16.0
7.25,-6.25,17.0
25.75,-19.75,17.0
5.75,1.75,17.0
5.25,-3.25,17.0
13.75,-13.75,17.0
4.75,1.25,17.0
3.75,-1.25,17.0
4.25,-1.75,17.0
21.25,-10.75,17.0
13.75,-11.75,18.0
5.25,-1.75,18.0
27.75,-15.25,18.0
22.75,-17.75,18.0
17.75,-9.25,18.0
12.25,-13.25,18.0
25.75,-18.25,18.0
6.75,1.25,18.0
11.25,-11.75,18.0
23.25,-18.25,19.0
7.75,-6.25,19.0
13.25,-12.25,19.0
21.75,-17.75,19.0
24.75,-19.75,19.0
16.75,-8.75,19.0
4.75,-2.25,19.0
13.25,-10.25,19.0
13.25,-10.75,20.0
7.75,1.75,20.0
9.25,-6.25,20.0
9.25,-7.25,20.0
22.75,-17.75,20.0
21.25,-16.75,20.0
8.75,-6.75,20.0
13.25,-12.25,20.0
16.25,-13.25,21.0
6.75,1.75,21.0
25.25,-13.25,21.0
25.25,-12.75,21.0
3.75,0.25,21.0
13.75,-11.25,21.0
8.25,-5.75,21.0
9.75,0.75,21.0
13.25,-11.25,21.0
7.25,-5.75,22.0
21.25,-17.75,22.0
15.75,-13.25,22.0
26.25,-16.75,22.0
12.75,-4.25,22.0
4.75,0.75,22.0
22.75,-17.75,22.0
22.75,-11.25,22.0
4.75,-0.75,22.0
5.25,-1.25,22.0
26.25,-18.75,22.0
14.25,-14.75,23.0
25.75,-14.75,23.0
8.75,-6.75,23.0
11.75,-6.25,23.0
17.75,-12.75,23.0
23.75,-18.25,23.0
25.75,-19.75,23.0
20.25,-14.25,23.0
20.25,-15.75,23.0
22.75,-14.75,23.0
8.25,-4.25,23.0
25.25,-12.75,23.0
23.25,-17.25,23.0
22.75,-16.25,23.0
18.25,-13.75,23.0
6.75,-6.25,23.0
18.25,-13.25,23.0
15.25,-11.75,23.0
18.25,-10.25,23.0
22.25,-13.75,24.0
11.25,-4.25,24.0
17.75,-13.75,24.0
24.75,-18.75,24.0
21.25,-17.75,24.0
25.75,-15.75,24.0
11.25,-5.25,24.0
17.75,-12.25,24.0
18.75,-15.75,24.0
14.25,-8.75,24.0
6.25,-1.25,24.0
11.75,-5.25,24.0
5.75,-2.25,24.0
23.75,-16.25,24.0
6.75,-6.75,24.0
8.75,-0.75,24.0
20.25,-11.75,24.0
27.25,-17.25,24.0
7.75,1.75,24.0
20.75,-18.25,24.0
20.75,-14.25,24.0
25.25,-17.75,24.0
14.75,-4.25,24.0
23.75,-18.25,24.0
11.25,-2.25,25.0
7.25,1.75,25.0
21.25,-12.25,25.0
25.25,-15.25,25.0
14.75,-13.25,25.0
15.25,-13.25,25.0
27.75,-15.75,25.0
12.75,-9.75,25.0
4.25,-1.75,25.0
22.75,-15.75,25.0
13.25,-11.25,25.0
25.75,-16.25,25.0
17.75,-9.25,25.0
15.25,-5.25,25.0
24.25,-17.75,25.0
18.25,-9.75,26.0
24.25,-19.75,26.0
3.75,0.25,26.0
24.75,-19.75,26.0
22.25,-11.75,26.0
14.25,-5.75,26.0
14.75,-5.75,26.0
13.25,-11.75,26.0
16.75,-13.25,26.0
21.25,-17.75,26.0
8.25,-6.25,27.0
27.25,-18.25,27.0
14.25,-13.75,27.0
12.75,-10.25,27.0
10.25,0.25,27.0
22.25,-11.75,27.0
25.75,-13.25,27.0
26.25,-19.75,28.0
23.75,-18.25,28.0
6.75,-4.25,28.0
6.75,-5.25,28.0
13.25,-10.75,28.0
16.75,-15.25,28.0
15.25,-5.25,28.0
7.25,-4.25,28.0
16.75,-13.75,28.0
12.25,-13.25,29.0
15.25,-6.75,29.0
15.75,-6.75,29.0
14.25,-14.25,29.0
8.75,-6.25,29.0
18.75,-16.25,29.0
25.75,-13.25,29.0
18.25,-8.25,29.0
22.75,-16.75,29.0
13.25,-11.25,30.0
23.75,-17.75,30.0
22.25,-17.75,30.0
17.25,-15.25,30.0
24.75,-18.75,30.0
25.25,-18.25,30.0
26.25,-19.75,30.0
18.25,-8.75,30.0
9.25,-8.25,30.0
25.75,-18.75,31.0
5.75,0.25,31.0
13.25,-12.25,31.0
6.25,-4.25,31.0
25.75,-14.25,31.0
11.25,-11.75,31.0
25.25,-13.75,31.0
13.75,-14.25,31.0
21.25,-12.25,31.0
24.25,-17.25,32.0
23.25,-18.25,32.0
10.25,-0.75,32.0
22.25,-17.75,32.0
13.75,-11.75,32.0
25.75,-18.75,32.0
24.75,-13.75,32.0
23.75,-17.25,32.0
17.25,-15.25,33.0
24.25,-17.75,33.0
4.25,0.25,33.0
13.75,-11.25,33.0
13.75,-10.75,33.0
7.75,-5.75,33.0
7.25,1.75,33.0
26.25,-18.75,33.0
17.25,-14.75,33.0
10.25,-0.25,34.0
27.25,-18.75,34.0
11.75,-7.75,34.0
8.75,-8.25,34.0
22.25,-10.75,34.0
23.25,-16.75,34.0
8.75,-6.75,34.0
5.25,-3.25,34.0
22.25,-17.75,34.0
23.25,-18.75,34.0
7.25,-3.75,34.0
9.25,0.75,35.0
24.75,-18.75,35.0
20.25,-14.25,35.0
22.75,-17.25,35.0
24.75,-18.25,35.0
